id,category,name,price_tier,neighborhood,opening hour,closing hour,average_rating,good_for_kids
1,Japanese,Essential by Chris,Medium,Flushing,10:00,16:00,2,TRUE
2,Thai,Witherspoon Grill,Cheap,Greenwich Village,9:00,17:00,5,FALSE
3,Thai,MayRee,Expensive,Little Italy,11:00,18:00,3,TRUE
4,Italian,Kimura,Medium,East Village,11:30,17:00,3,TRUE
5,Chinese,ilili,Expensive,Lower East Side,9:00,16:00,4,FALSE
6,Indian,Tartinery,Expensive,Little Italy,11:30,16:00,3,FALSE
7,Italian,Bo Ky,Expensive,Greenwich Village,10:00,20:00,3,TRUE
8,Japanese,Essential by Chris,Medium,Gramercy,10:00,20:00,2,FALSE
9,Indian,Witherspoon Grill,Cheap,West Village,10:00,16:00,3,TRUE
10,Indian,Gelso & Grand,Cheap,Chelsea,9:00,21:00,3,FALSE
11,Italian,MayRee,Medium,Flushing,11:30,21:00,1,FALSE
12,Mexican,Kimura,Medium,Tribeca,11:00,17:00,4,TRUE
13,Mexican,Big Wong,Expensive,East Village,9:00,17:00,5,TRUE
14,Indian,Five Guys,Medium,Greenwich Village,11:30,17:00,2,TRUE
15,Korean,Gelso & Grand,Medium,Upper East Side,11:30,18:00,2,FALSE
16,Indian,Wendy's,Expensive,Upper East Side,9:30,20:00,1,FALSE
17,Spanish,ilili,Cheap,Little Italy,9:00,18:00,3,TRUE
18,Japanese,MayRee,Medium,Chelsea,10:00,20:00,5,TRUE
19,Mexican,Five Guys,Medium,Little Italy,10:30,17:00,2,FALSE
20,Korean,Chipotle,Cheap,Little Italy,9:00,16:00,4,TRUE
21,Japanese,Bonqueria,Cheap,Flushing,10:00,20:00,2,TRUE
22,Indian,Su Jeo,Cheap,Chelsea,10:30,20:00,3,FALSE
23,Spanish,Kimura,Medium,Chelsea,11:00,17:00,4,TRUE
24,Japanese,Fish Cheeks,Cheap,Upper West Side,10:00,16:00,5,TRUE
25,Spanish,Take31,Cheap,East Village,11:30,20:00,3,TRUE
26,Indian,Kimura,Medium,West Village,11:00,18:00,5,FALSE
27,Thai,Kimura,Cheap,Upper East Side,11:00,16:00,4,TRUE
28,Korean,Bonqueria,Medium,Lower East Side,9:30,16:00,3,TRUE
29,Indian,Su Jeo,Medium,Little Italy,11:00,21:00,4,TRUE
30,Korean,Fish Cheeks,Expensive,Upper East Side,9:30,17:00,2,FALSE
31,Chinese,Don Angie,Medium,Tribeca,9:30,17:00,5,TRUE
32,Chinese,ilili,Expensive,Greenwich Village,9:30,20:00,4,TRUE
